epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6239,1.72522,1.30698,0.96403,0.65515,0.47298,0.48458,0.23187,1.69455,1.45477,0.97811,0.06715,0.000331818,0.000331818
1,48.6358,1.72522,1.30698,0.96403,0.65515,0.47298,0.48458,0.23187,1.69455,1.45477,0.97811,0.06715,0.000331818,0.000331818
2,96.2175,1.70165,1.09472,0.96014,0.72441,0.45551,0.52511,0.26042,1.66849,1.19633,0.95087,0.0341434,0.000658567,0.000658567
3,142.316,1.66288,1.06585,0.9434,0.65708,0.43155,0.47713,0.22671,1.78174,1.34193,0.98248,0.00113023,0.000978715,0.000978715
4,188.019,1.64539,1.05051,0.9462,0.7296,0.4829,0.55664,0.30266,1.58387,1.15463,0.95805,0.0009703,0.0009703,0.0009703
5,234.56,1.59497,0.99543,0.9254,0.77565,0.49632,0.57396,0.31835,1.52886,1.13078,0.93642,0.0009604,0.0009604,0.0009604
6,280.471,1.53379,0.95452,0.92249,0.73476,0.51325,0.57282,0.31585,1.50312,1.16732,0.92924,0.0009505,0.0009505,0.0009505
7,326.154,1.53262,0.94691,0.92404,0.74546,0.51441,0.58245,0.32238,1.50499,1.04424,0.92635,0.0009406,0.0009406,0.0009406
8,372.065,1.49183,0.90466,0.9147,0.77295,0.53052,0.60883,0.34993,1.42363,0.9947,0.92541,0.0009307,0.0009307,0.0009307
9,417.804,1.45877,0.86508,0.91096,0.77542,0.52429,0.60569,0.34822,1.4239,0.94994,0.91763,0.0009208,0.0009208,0.0009208
10,463.745,1.46336,0.88326,0.90884,0.75818,0.51798,0.58838,0.32753,1.50499,1.0315,0.9439,0.0009109,0.0009109,0.0009109
11,509.396,1.4305,0.84835,0.90061,0.72053,0.51146,0.58779,0.34428,1.42515,1.03082,0.92233,0.000901,0.000901,0.000901
12,555.223,1.41409,0.83829,0.8971,0.69796,0.50978,0.5828,0.33595,1.41593,1.12601,0.90521,0.0008911,0.0008911,0.0008911
13,600.869,1.40468,0.83566,0.90168,0.77418,0.55857,0.63002,0.37317,1.32935,0.90284,0.89872,0.0008812,0.0008812,0.0008812
14,647.265,1.38531,0.82281,0.89657,0.77971,0.54974,0.632,0.37043,1.35778,0.93594,0.90912,0.0008713,0.0008713,0.0008713
15,696.071,1.37926,0.81152,0.89069,0.7756,0.58065,0.64904,0.37844,1.36063,0.84722,0.90655,0.0008614,0.0008614,0.0008614
16,743.701,1.36089,0.78486,0.89597,0.78149,0.55478,0.63598,0.36332,1.35134,0.83253,0.90151,0.0008515,0.0008515,0.0008515
