epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5929,1.80383,1.46725,0.96938,0.74458,0.46163,0.52452,0.26925,1.6422,1.2076,0.95249,0.06715,0.000331818,0.000331818
2,55.5905,1.71054,1.08931,0.95181,0.70866,0.46625,0.52436,0.27593,1.64441,1.15631,0.95894,0.0341434,0.000658567,0.000658567
3,78.9062,1.64789,1.0463,0.9356,0.7172,0.50641,0.55468,0.28037,1.62187,1.1588,0.95342,0.00113023,0.000978715,0.000978715
4,101.914,1.6457,1.0329,0.94022,0.74544,0.51819,0.58465,0.2903,1.68003,1.13093,0.96195,0.0009703,0.0009703,0.0009703
5,124.849,1.58875,0.97872,0.92254,0.79117,0.4938,0.58273,0.32685,1.52323,1.03888,0.93269,0.0009604,0.0009604,0.0009604
6,147.966,1.56406,0.95171,0.92332,0.74921,0.52649,0.59503,0.3361,1.49819,1.00468,0.93613,0.0009505,0.0009505,0.0009505
7,171.38,1.5421,0.92794,0.91878,0.79171,0.5327,0.61346,0.33048,1.51926,0.97415,0.93204,0.0009406,0.0009406,0.0009406
8,194.505,1.52722,0.90767,0.91629,0.78966,0.54911,0.63266,0.34219,1.48886,0.97209,0.9221,0.0009307,0.0009307,0.0009307
9,218.015,1.48624,0.87183,0.90923,0.79614,0.54658,0.63126,0.34481,1.48531,0.93385,0.9196,0.0009208,0.0009208,0.0009208
10,241.264,1.49621,0.89435,0.90789,0.76895,0.55163,0.61243,0.34734,1.43694,0.96407,0.92183,0.0009109,0.0009109,0.0009109
11,264.811,1.47406,0.86959,0.90541,0.81115,0.551,0.63085,0.36345,1.41192,0.91735,0.91461,0.000901,0.000901,0.000901
12,288.155,1.45211,0.84128,0.89493,0.79486,0.55689,0.64235,0.36801,1.3904,0.86157,0.90536,0.0008911,0.0008911,0.0008911
13,311.511,1.44072,0.83755,0.90041,0.77234,0.5693,0.63861,0.35877,1.40955,0.91609,0.906,0.0008812,0.0008812,0.0008812
14,335.054,1.42324,0.81817,0.8965,0.81244,0.57371,0.65841,0.3753,1.38947,0.87396,0.90663,0.0008713,0.0008713,0.0008713
15,357.93,1.41182,0.8181,0.89136,0.79026,0.56993,0.64436,0.36417,1.41103,0.849,0.90315,0.0008614,0.0008614,0.0008614
16,380.551,1.40991,0.80366,0.89841,0.81017,0.55828,0.64543,0.36599,1.39129,0.82118,0.90141,0.0008515,0.0008515,0.0008515
17,402.916,1.397,0.805,0.89578,0.81258,0.5796,0.66204,0.37943,1.37984,0.82065,0.90906,0.0008416,0.0008416,0.0008416
18,425.851,1.39898,0.80393,0.89482,0.80532,0.5632,0.64228,0.35875,1.41959,0.85628,0.90779,0.0008317,0.0008317,0.0008317
19,449.53,1.38364,0.79285,0.89106,0.8188,0.55436,0.63719,0.37107,1.36309,0.86193,0.90594,0.0008218,0.0008218,0.0008218
20,472.298,1.38472,0.78276,0.88546,0.79927,0.55519,0.62469,0.37098,1.34256,0.90299,0.9037,0.0008119,0.0008119,0.0008119
21,494.59,1.3635,0.77206,0.89132,0.8202,0.58339,0.67101,0.39633,1.31852,0.76751,0.89637,0.000802,0.000802,0.000802
22,517.352,1.36468,0.77638,0.88789,0.83108,0.5756,0.66683,0.39293,1.32039,0.78284,0.89587,0.0007921,0.0007921,0.0007921
23,539.699,1.3634,0.77125,0.8866,0.82575,0.59979,0.67139,0.40063,1.28899,0.73975,0.88935,0.0007822,0.0007822,0.0007822
24,562.177,1.35802,0.7713,0.89027,0.8271,0.58339,0.67159,0.39621,1.27806,0.7711,0.88598,0.0007723,0.0007723,0.0007723
25,584.614,1.33818,0.75691,0.8835,0.84457,0.58254,0.66123,0.39756,1.27545,0.7604,0.8869,0.0007624,0.0007624,0.0007624
26,608.199,1.33235,0.73864,0.87914,0.82573,0.59642,0.67613,0.40223,1.29655,0.73708,0.88249,0.0007525,0.0007525,0.0007525
27,631.097,1.33389,0.74712,0.88321,0.82696,0.60126,0.68165,0.40613,1.2888,0.72619,0.88878,0.0007426,0.0007426,0.0007426
28,652.985,1.33043,0.74529,0.88418,0.82759,0.59154,0.67205,0.40845,1.27467,0.73611,0.88431,0.0007327,0.0007327,0.0007327
