epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9303,1.71617,1.2791,0.95473,0.66461,0.39769,0.40813,0.19708,1.72609,1.48394,0.96325,0.06715,0.000331818,0.000331818
2,73.8068,1.67314,1.07135,0.94871,0.73869,0.498,0.55974,0.29706,1.5807,1.09172,0.94982,0.0341434,0.000658567,0.000658567
3,107.661,1.63725,1.02563,0.93703,0.73754,0.49779,0.56386,0.28806,1.64647,1.13025,0.97016,0.00113023,0.000978715,0.000978715
4,141.416,1.63134,1.03889,0.94149,0.69924,0.49127,0.54889,0.29392,1.58359,1.28416,0.94589,0.0009703,0.0009703,0.0009703
5,175.37,1.58848,0.98683,0.92497,0.76129,0.51979,0.60217,0.33973,1.50743,0.99286,0.92196,0.0009604,0.0009604,0.0009604
6,209.265,1.5356,0.9439,0.92229,0.75125,0.50366,0.57233,0.31402,1.54999,1.25271,0.93522,0.0009505,0.0009505,0.0009505
7,243.671,1.51549,0.91678,0.91952,0.78332,0.53985,0.61997,0.35701,1.41504,0.9061,0.91151,0.0009406,0.0009406,0.0009406
8,277.244,1.48744,0.89966,0.91554,0.7673,0.51987,0.60394,0.34128,1.42953,0.96721,0.91955,0.0009307,0.0009307,0.0009307
9,310.454,1.46384,0.86702,0.91115,0.7587,0.52238,0.59696,0.34286,1.45294,0.98086,0.92363,0.0009208,0.0009208,0.0009208
10,344.737,1.45284,0.86142,0.90377,0.7845,0.54111,0.6203,0.35483,1.39897,1.00442,0.91236,0.0009109,0.0009109,0.0009109
11,381.735,1.4277,0.84706,0.8989,0.79234,0.5531,0.63683,0.37432,1.37166,0.86178,0.90743,0.000901,0.000901,0.000901
12,416.871,1.40692,0.82301,0.89468,0.74221,0.54658,0.61677,0.35726,1.36363,0.90413,0.90003,0.0008911,0.0008911,0.0008911
13,451.522,1.40346,0.82155,0.89749,0.78498,0.5697,0.64382,0.37293,1.36194,0.85655,0.90365,0.0008812,0.0008812,0.0008812
14,486.019,1.39464,0.82702,0.89818,0.77744,0.56715,0.64715,0.37083,1.34815,0.85594,0.90257,0.0008713,0.0008713,0.0008713
15,522.25,1.38085,0.80241,0.89185,0.82278,0.5714,0.65979,0.37849,1.37508,0.81711,0.90484,0.0008614,0.0008614,0.0008614
16,558.12,1.37741,0.79198,0.89719,0.76819,0.57476,0.63938,0.36358,1.35356,0.85265,0.90057,0.0008515,0.0008515,0.0008515
17,592.073,1.36014,0.78902,0.8917,0.77795,0.57897,0.65686,0.38536,1.32984,0.81486,0.8949,0.0008416,0.0008416,0.0008416
18,626.889,1.35882,0.77717,0.89214,0.80213,0.5823,0.65766,0.38706,1.33048,0.79517,0.89727,0.0008317,0.0008317,0.0008317
19,664.775,1.33923,0.76415,0.88787,0.80103,0.5714,0.65484,0.38999,1.29933,0.80445,0.89266,0.0008218,0.0008218,0.0008218
