epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7652,2.04299,1.56909,0.99234,0.71058,0.42103,0.47684,0.2163,1.98305,1.45443,0.96814,0.0670375,0.000332955,0.000332955
2,132.616,1.86018,1.23409,0.96875,0.72209,0.44963,0.5102,0.2523,1.849,1.33278,0.95629,0.0340309,0.000659692,0.000659692
3,193.419,1.78488,1.16906,0.94938,0.663,0.4787,0.52915,0.2718,1.73448,1.20015,0.94814,0.00101771,0.000979829,0.000979829
4,253.129,1.75555,1.15657,0.95036,0.75342,0.48686,0.56805,0.29376,1.68686,1.17964,0.93363,0.0009703,0.0009703,0.0009703
5,312.972,1.71676,1.11189,0.93566,0.70537,0.51209,0.56952,0.29821,1.69062,1.10568,0.93609,0.0009604,0.0009604,0.0009604
1,25.6751,1.96835,1.68158,0.99485,0.64361,0.40068,0.4494,0.20974,1.88213,1.49922,0.97103,0.06715,0.000331818,0.000331818
2,46.3321,1.7747,1.16184,0.95676,0.69588,0.44311,0.49273,0.25753,1.68343,1.49539,0.94592,0.0341434,0.000658567,0.000658567
3,67.5724,1.72152,1.10009,0.94438,0.71726,0.47321,0.51361,0.24015,1.77376,1.30732,0.97259,0.00113023,0.000978715,0.000978715
4,89.0023,1.71316,1.08961,0.94492,0.71948,0.4938,0.54012,0.26849,1.74497,1.18218,0.96188,0.0009703,0.0009703,0.0009703
5,109.559,1.67134,1.04715,0.93191,0.73238,0.46477,0.54687,0.2932,1.69123,1.21901,0.95402,0.0009604,0.0009604,0.0009604
6,130.19,1.63349,1.0204,0.9318,0.77802,0.50564,0.57585,0.29208,1.6668,1.134,0.94484,0.0009505,0.0009505,0.0009505
7,151.825,1.61598,1.0021,0.92806,0.71606,0.39495,0.45571,0.24727,1.68386,1.27732,0.95665,0.0009406,0.0009406,0.0009406
8,173.078,1.59222,0.9725,0.92111,0.7641,0.5428,0.60943,0.33747,1.50228,0.97263,0.9104,0.0009307,0.0009307,0.0009307
9,193.285,1.56004,0.9339,0.91644,0.76366,0.51525,0.59344,0.32515,1.54934,0.99079,0.92672,0.0009208,0.0009208,0.0009208
10,214.645,1.56249,0.94822,0.91579,0.75281,0.52006,0.58573,0.31737,1.52654,0.98284,0.9281,0.0009109,0.0009109,0.0009109
11,234.791,1.54437,0.9309,0.90898,0.75694,0.54006,0.60364,0.34396,1.47836,0.94199,0.92116,0.000901,0.000901,0.000901
12,254.944,1.52544,0.919,0.90263,0.75511,0.50431,0.57499,0.31803,1.56473,1.00125,0.93209,0.0008911,0.0008911,0.0008911
13,276.656,1.52174,0.90645,0.91211,0.79556,0.54912,0.6259,0.34354,1.468,0.95041,0.91167,0.0008812,0.0008812,0.0008812
14,297.906,1.51111,0.91067,0.90722,0.72894,0.52471,0.59015,0.31967,1.52754,1.0006,0.92368,0.0008713,0.0008713,0.0008713
15,317.644,1.49917,0.89529,0.90064,0.79574,0.50578,0.58384,0.33312,1.49589,0.96273,0.91432,0.0008614,0.0008614,0.0008614
16,338.622,1.49206,0.87856,0.90611,0.78023,0.54654,0.61434,0.34577,1.45271,0.93766,0.90647,0.0008515,0.0008515,0.0008515
17,359.479,1.47526,0.87657,0.90383,0.77931,0.54784,0.6206,0.34224,1.4482,0.90435,0.91157,0.0008416,0.0008416,0.0008416
18,379.04,1.47929,0.8712,0.9068,0.74896,0.52705,0.60512,0.32625,1.54351,0.9336,0.91656,0.0008317,0.0008317,0.0008317
