epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.108,1.72774,1.33525,0.96345,0.61086,0.44984,0.45099,0.21383,1.72568,1.33414,0.97611,0.06715,0.000331818,0.000331818
2,128.996,1.71569,1.10836,0.95833,0.72193,0.4858,0.54359,0.27898,1.64953,1.17541,0.95728,0.0341434,0.000658567,0.000658567
3,191.721,1.65283,1.05972,0.94243,0.5753,0.42524,0.4211,0.20129,1.7715,1.81216,0.98718,0.00113023,0.000978715,0.000978715
4,254.208,1.63268,1.0411,0.94639,0.74877,0.45317,0.53796,0.27934,1.62279,1.18736,0.94869,0.0009703,0.0009703,0.0009703
5,316.746,1.58393,0.99201,0.92438,0.75026,0.52766,0.59726,0.33816,1.48936,0.99622,0.93579,0.0009604,0.0009604,0.0009604
6,380.084,1.53413,0.94932,0.9209,0.76966,0.50557,0.57847,0.32966,1.48138,1.02934,0.93442,0.0009505,0.0009505,0.0009505
7,442.27,1.51463,0.92798,0.92058,0.77989,0.54843,0.61763,0.35143,1.40788,0.91932,0.92306,0.0009406,0.0009406,0.0009406
8,504.527,1.47916,0.89734,0.91663,0.72999,0.50936,0.57681,0.31064,1.51001,1.07619,0.92853,0.0009307,0.0009307,0.0009307
9,565.914,1.44811,0.86577,0.90966,0.78802,0.5238,0.61697,0.35494,1.41347,0.97131,0.92638,0.0009208,0.0009208,0.0009208
10,627.683,1.45015,0.86466,0.90402,0.78636,0.55193,0.62931,0.36609,1.39125,0.89954,0.91419,0.0009109,0.0009109,0.0009109
11,689.278,1.41307,0.84357,0.8994,0.77114,0.54427,0.62458,0.35898,1.3894,0.9196,0.90767,0.000901,0.000901,0.000901
12,750.527,1.38625,0.82308,0.89205,0.7618,0.53481,0.60509,0.3524,1.37631,0.91722,0.90353,0.0008911,0.0008911,0.0008911
13,812.735,1.38666,0.81566,0.89969,0.75753,0.53838,0.6094,0.36085,1.36288,0.87277,0.90256,0.0008812,0.0008812,0.0008812
14,874.65,1.37646,0.82202,0.89728,0.78798,0.55941,0.63907,0.3806,1.31963,0.88564,0.89978,0.0008713,0.0008713,0.0008713
15,936.706,1.35697,0.79649,0.89105,0.79991,0.55741,0.64263,0.36714,1.37676,0.86264,0.90232,0.0008614,0.0008614,0.0008614
16,999.041,1.35355,0.78339,0.89454,0.77941,0.55857,0.63018,0.37809,1.30246,0.84985,0.89739,0.0008515,0.0008515,0.0008515
17,1061.85,1.33234,0.77114,0.89064,0.76682,0.57645,0.64512,0.38779,1.29545,0.86156,0.8968,0.0008416,0.0008416,0.0008416
18,1124.93,1.32927,0.77488,0.89073,0.78806,0.57398,0.65684,0.38566,1.32206,0.82364,0.89864,0.0008317,0.0008317,0.0008317
