epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0408,2.01962,1.49914,1.05758,0.63359,0.42414,0.46615,0.22522,1.90985,1.41966,0.99586,0.0670742,0.000332584,0.000332584
2,170.749,1.93362,1.28333,1.03348,0.69596,0.47445,0.51941,0.25978,1.80623,1.50444,0.9658,0.0340676,0.000659325,0.000659325
3,259.606,1.94097,1.28837,1.03799,0.69703,0.48995,0.52935,0.25596,1.77662,1.4145,0.95576,0.00105437,0.000979466,0.000979466
4,347.934,1.88788,1.23484,1.02446,0.73814,0.49533,0.55666,0.28736,1.74956,1.22467,0.96203,0.0009703,0.0009703,0.0009703
5,438.132,1.83315,1.17952,1.01161,0.72776,0.50189,0.56936,0.2906,1.64899,1.21121,0.93697,0.0009604,0.0009604,0.0009604
6,527.132,1.783,1.13071,1.00164,0.74934,0.52814,0.58718,0.31435,1.6064,1.10352,0.9375,0.0009505,0.0009505,0.0009505
7,616.089,1.75868,1.10684,0.99738,0.75813,0.53669,0.62022,0.32205,1.63227,1.08179,0.92556,0.0009406,0.0009406,0.0009406
8,705.177,1.73516,1.07476,0.98648,0.76817,0.54554,0.62361,0.34054,1.51895,1.05906,0.91674,0.0009307,0.0009307,0.0009307
9,794.773,1.71904,1.06247,0.98766,0.74269,0.54941,0.62105,0.34473,1.56148,1.05639,0.91998,0.0009208,0.0009208,0.0009208
10,883.657,1.68734,1.03057,0.97365,0.79635,0.56375,0.64495,0.35638,1.50358,0.97128,0.9116,0.0009109,0.0009109,0.0009109
11,972.74,1.67514,1.0156,0.97536,0.77417,0.57785,0.65747,0.36603,1.4689,0.98199,0.91338,0.000901,0.000901,0.000901
12,1061.57,1.6657,1.00696,0.97532,0.8036,0.56214,0.65323,0.36632,1.42794,0.89446,0.89916,0.0008911,0.0008911,0.0008911
13,1150.76,1.65708,0.99432,0.9701,0.76552,0.59011,0.661,0.36816,1.41286,0.88933,0.9032,0.0008812,0.0008812,0.0008812
14,1240.42,1.65129,0.98499,0.96896,0.79317,0.56963,0.65936,0.37366,1.41662,0.91257,0.90185,0.0008713,0.0008713,0.0008713
15,1330.44,1.63234,0.9689,0.96576,0.77712,0.5796,0.66429,0.3784,1.39392,0.84742,0.89835,0.0008614,0.0008614,0.0008614
16,1421,1.62325,0.96256,0.96051,0.80404,0.59535,0.67954,0.39456,1.35981,0.83166,0.88867,0.0008515,0.0008515,0.0008515
17,1510.53,1.60635,0.94933,0.95766,0.80662,0.59455,0.67988,0.39935,1.34688,0.83417,0.88951,0.0008416,0.0008416,0.0008416
18,1600.17,1.59854,0.93893,0.95905,0.80674,0.59102,0.68071,0.39739,1.34658,0.82629,0.89437,0.0008317,0.0008317,0.0008317
19,1690.51,1.59545,0.93461,0.95401,0.80719,0.59439,0.68156,0.39444,1.35996,0.8153,0.89884,0.0008218,0.0008218,0.0008218
20,1780.71,1.58447,0.92675,0.95665,0.80838,0.59515,0.68221,0.40296,1.35566,0.80573,0.91054,0.0008119,0.0008119,0.0008119
21,1870.89,1.5698,0.90326,0.95072,0.82771,0.6031,0.69711,0.41102,1.33253,0.79366,0.90272,0.000802,0.000802,0.000802
22,1960.8,1.56394,0.89946,0.95065,0.82172,0.60122,0.69169,0.40896,1.34028,0.77876,0.91043,0.0007921,0.0007921,0.0007921
23,2050.36,1.55687,0.89892,0.95036,0.81344,0.60668,0.69319,0.40994,1.33132,0.76552,0.90052,0.0007822,0.0007822,0.0007822
24,2140.57,1.55929,0.9003,0.95008,0.81052,0.61086,0.6944,0.41232,1.31888,0.76592,0.89155,0.0007723,0.0007723,0.0007723
25,2230.16,1.54064,0.88002,0.94344,0.82046,0.60947,0.69925,0.41701,1.30801,0.76768,0.88747,0.0007624,0.0007624,0.0007624
26,2319.75,1.54031,0.88039,0.94342,0.8417,0.6033,0.70192,0.41813,1.29162,0.75272,0.88637,0.0007525,0.0007525,0.0007525
27,2409.53,1.53956,0.87533,0.94451,0.81942,0.61447,0.70264,0.42249,1.27766,0.75137,0.88411,0.0007426,0.0007426,0.0007426
28,2499.4,1.52416,0.86632,0.94159,0.81778,0.61642,0.70243,0.42382,1.2708,0.74578,0.88475,0.0007327,0.0007327,0.0007327
29,2589.57,1.51908,0.85095,0.93691,0.81739,0.60986,0.70139,0.42299,1.2709,0.74197,0.88261,0.0007228,0.0007228,0.0007228
30,2679.34,1.50873,0.84502,0.9349,0.83225,0.61086,0.70363,0.42346,1.27912,0.74794,0.88643,0.0007129,0.0007129,0.0007129
31,2768.9,1.51303,0.84795,0.93545,0.83003,0.61077,0.70587,0.42422,1.25982,0.7343,0.87932,0.000703,0.000703,0.000703
32,2858.59,1.50023,0.84009,0.93775,0.82082,0.61384,0.70353,0.42415,1.25877,0.73002,0.87891,0.0006931,0.0006931,0.0006931
33,2948.59,1.49936,0.83161,0.93523,0.81659,0.61503,0.7037,0.42496,1.26112,0.72774,0.88019,0.0006832,0.0006832,0.0006832
34,3037.65,1.49409,0.83313,0.9345,0.82399,0.61161,0.70357,0.42646,1.26476,0.7247,0.87983,0.0006733,0.0006733,0.0006733
35,3127.8,1.49377,0.82697,0.93293,0.82219,0.61603,0.70435,0.42788,1.25766,0.71666,0.87865,0.0006634,0.0006634,0.0006634
36,3217.34,1.48036,0.81654,0.92794,0.81857,0.61905,0.70634,0.42903,1.25435,0.71083,0.87835,0.0006535,0.0006535,0.0006535
37,3306.58,1.4797,0.81434,0.92958,0.80905,0.62299,0.70605,0.42969,1.25323,0.70873,0.87801,0.0006436,0.0006436,0.0006436
38,3397.55,1.46961,0.81077,0.92837,0.83037,0.61344,0.70737,0.43118,1.25244,0.70714,0.87779,0.0006337,0.0006337,0.0006337
39,3489.63,1.46683,0.80395,0.92706,0.82684,0.61623,0.70794,0.43212,1.25036,0.704,0.87705,0.0006238,0.0006238,0.0006238
