epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.547,2.09562,1.43408,1.04464,0.61936,0.39893,0.43247,0.21024,1.96286,1.34878,0.95853,0.0670238,0.000333093,0.000333093
2,500.258,2.0282,1.35574,1.02812,0.73827,0.41781,0.4657,0.22728,1.92133,1.25928,0.94883,0.0340172,0.000659829,0.000659829
3,742.139,1.96484,1.30537,1.01385,0.70879,0.40111,0.45281,0.22162,1.93898,1.40252,0.9491,0.00100396,0.000979965,0.000979965
4,979.171,1.88931,1.22908,0.99525,0.74246,0.45836,0.52195,0.26063,1.7738,1.06949,0.92522,0.0009703,0.0009703,0.0009703
5,1220.71,1.83494,1.17618,0.98955,0.74446,0.45109,0.52099,0.27683,1.69384,1.06685,0.91764,0.0009604,0.0009604,0.0009604
6,1459.34,1.7871,1.11654,0.9746,0.77056,0.47327,0.53847,0.29129,1.63095,1.02838,0.90735,0.0009505,0.0009505,0.0009505
7,1695.91,1.75759,1.09032,0.96958,0.76981,0.49434,0.56252,0.31026,1.58027,0.97475,0.89015,0.0009406,0.0009406,0.0009406
8,1932.31,1.72435,1.06393,0.96581,0.7734,0.48658,0.56012,0.3119,1.53891,0.93909,0.88551,0.0009307,0.0009307,0.0009307
9,2168.26,1.69766,1.05078,0.96166,0.77489,0.48479,0.56372,0.31351,1.54669,0.94503,0.88627,0.0009208,0.0009208,0.0009208
10,2405.2,1.68367,1.02627,0.96008,0.75091,0.50288,0.57628,0.32613,1.51282,0.90288,0.88144,0.0009109,0.0009109,0.0009109
11,2641.37,1.66282,1.00427,0.95619,0.78199,0.50586,0.57506,0.32689,1.48998,0.90025,0.87975,0.000901,0.000901,0.000901
12,2877.73,1.64156,0.99163,0.95128,0.79882,0.50487,0.57799,0.33329,1.45679,0.8881,0.87775,0.0008911,0.0008911,0.0008911
13,3113.99,1.62587,0.97108,0.95325,0.80589,0.51245,0.59969,0.34621,1.44917,0.84345,0.87821,0.0008812,0.0008812,0.0008812
14,3352.71,1.62086,0.96464,0.9426,0.79769,0.52431,0.60081,0.35318,1.40558,0.84837,0.86506,0.0008713,0.0008713,0.0008713
15,3588.9,1.60037,0.94369,0.93915,0.79913,0.52057,0.60391,0.35579,1.40374,0.81532,0.87087,0.0008614,0.0008614,0.0008614
16,3824.18,1.57514,0.93121,0.93687,0.80685,0.52228,0.60424,0.35727,1.38125,0.8033,0.86995,0.0008515,0.0008515,0.0008515
17,4058.69,1.58365,0.92186,0.93751,0.81749,0.52705,0.61096,0.36447,1.36438,0.77778,0.86544,0.0008416,0.0008416,0.0008416
18,4293.07,1.56608,0.90562,0.93447,0.80876,0.52554,0.6103,0.36513,1.3666,0.77721,0.86483,0.0008317,0.0008317,0.0008317
19,4528.17,1.55434,0.89698,0.93295,0.80173,0.53046,0.61064,0.36616,1.3601,0.77125,0.87106,0.0008218,0.0008218,0.0008218
20,4763.46,1.54637,0.8972,0.93031,0.80515,0.5325,0.61339,0.36876,1.35607,0.76665,0.86654,0.0008119,0.0008119,0.0008119
21,4998.44,1.54285,0.88562,0.93089,0.81302,0.52719,0.61221,0.37033,1.33474,0.76662,0.8627,0.000802,0.000802,0.000802
22,5232.98,1.52848,0.87162,0.92369,0.81199,0.5331,0.61473,0.37479,1.33318,0.74766,0.86163,0.0007921,0.0007921,0.0007921
23,5467.63,1.5187,0.87078,0.92805,0.81489,0.53287,0.61592,0.37473,1.32428,0.73839,0.86144,0.0007822,0.0007822,0.0007822
24,5706.26,1.50131,0.8554,0.92375,0.82928,0.52991,0.61685,0.37362,1.32301,0.72954,0.86171,0.0007723,0.0007723,0.0007723
25,5942.94,1.49603,0.83566,0.92235,0.81249,0.53056,0.61814,0.37639,1.31304,0.73209,0.85948,0.0007624,0.0007624,0.0007624
26,6179.34,1.48848,0.83859,0.9179,0.81775,0.53826,0.62389,0.3824,1.30657,0.72386,0.85762,0.0007525,0.0007525,0.0007525
27,6415.65,1.47558,0.832,0.91877,0.8451,0.53767,0.63166,0.38412,1.29527,0.71632,0.85644,0.0007426,0.0007426,0.0007426
28,6652.54,1.47825,0.82942,0.91928,0.82409,0.54641,0.63116,0.38517,1.29477,0.70882,0.85653,0.0007327,0.0007327,0.0007327
29,6889.62,1.4617,0.81216,0.91267,0.82159,0.54244,0.627,0.385,1.29312,0.70585,0.85764,0.0007228,0.0007228,0.0007228
30,7124.52,1.46199,0.80764,0.91692,0.83766,0.53434,0.62818,0.38774,1.28126,0.70247,0.85638,0.0007129,0.0007129,0.0007129
31,7359.72,1.45617,0.8112,0.91653,0.83418,0.54164,0.63218,0.39108,1.27683,0.69134,0.85364,0.000703,0.000703,0.000703
32,7595.22,1.44226,0.79453,0.90819,0.83076,0.54184,0.63513,0.39118,1.28084,0.68679,0.85439,0.0006931,0.0006931,0.0006931
33,7830.14,1.43935,0.79516,0.91563,0.82988,0.54482,0.63566,0.39155,1.2732,0.68783,0.8529,0.0006832,0.0006832,0.0006832
34,8065.35,1.42782,0.7826,0.90684,0.83548,0.54323,0.63643,0.393,1.26868,0.68403,0.85324,0.0006733,0.0006733,0.0006733
35,8302.69,1.42312,0.78155,0.90631,0.83259,0.54383,0.63782,0.39322,1.26727,0.68188,0.85331,0.0006634,0.0006634,0.0006634
36,8540.08,1.41399,0.77165,0.90627,0.83263,0.54264,0.63961,0.39591,1.2618,0.67915,0.85204,0.0006535,0.0006535,0.0006535
37,8777.6,1.40806,0.7676,0.90683,0.8316,0.54377,0.64035,0.39626,1.26123,0.67557,0.85326,0.0006436,0.0006436,0.0006436
38,9014.37,1.4053,0.76588,0.90565,0.83428,0.5486,0.64177,0.39671,1.26217,0.67497,0.8531,0.0006337,0.0006337,0.0006337
39,9251.04,1.39755,0.75215,0.90246,0.83471,0.54707,0.64247,0.39894,1.255,0.6729,0.85121,0.0006238,0.0006238,0.0006238
40,9486.95,1.38779,0.74651,0.90155,0.83834,0.54425,0.64284,0.40038,1.2517,0.66816,0.85047,0.0006139,0.0006139,0.0006139
41,9724.13,1.38088,0.7458,0.90031,0.84149,0.54555,0.64474,0.40188,1.24811,0.66741,0.85003,0.000604,0.000604,0.000604
42,9960.3,1.37923,0.74,0.89764,0.82339,0.55322,0.6444,0.40201,1.2469,0.66441,0.85025,0.0005941,0.0005941,0.0005941
43,10196.8,1.37531,0.73343,0.89688,0.82252,0.55456,0.6462,0.40347,1.24526,0.66104,0.84982,0.0005842,0.0005842,0.0005842
44,10432.4,1.36601,0.73505,0.89952,0.82286,0.55583,0.64641,0.40451,1.24521,0.65909,0.8504,0.0005743,0.0005743,0.0005743
45,10667.9,1.35381,0.72184,0.89184,0.81731,0.55655,0.64645,0.40519,1.24504,0.65715,0.85092,0.0005644,0.0005644,0.0005644
46,10905.2,1.34976,0.72103,0.89632,0.81905,0.55595,0.64782,0.40518,1.24372,0.65498,0.85042,0.0005545,0.0005545,0.0005545
47,11142.1,1.34782,0.71616,0.89535,0.81989,0.55737,0.6484,0.40571,1.24082,0.65321,0.85,0.0005446,0.0005446,0.0005446
48,11378.8,1.34116,0.70765,0.89469,0.82115,0.55814,0.64962,0.4066,1.24067,0.6513,0.84946,0.0005347,0.0005347,0.0005347
49,11614,1.33928,0.71087,0.8924,0.8212,0.55675,0.64958,0.40669,1.23997,0.64957,0.84913,0.0005248,0.0005248,0.0005248
50,11849.8,1.31903,0.69674,0.89007,0.82617,0.55655,0.64965,0.40707,1.23875,0.64785,0.84932,0.0005149,0.0005149,0.0005149
51,12087.4,1.32664,0.69821,0.89085,0.82488,0.55595,0.64958,0.40766,1.23707,0.64644,0.84925,0.000505,0.000505,0.000505
52,12323.6,1.31981,0.69116,0.89014,0.82433,0.55715,0.64943,0.40779,1.23664,0.64609,0.84892,0.0004951,0.0004951,0.0004951
