epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.723,2.07183,1.40719,1.03568,0.73933,0.35063,0.42955,0.21323,1.9901,1.36704,0.97338,0.0670238,0.000333093,0.000333093
2,404.087,2.00499,1.33509,1.02145,0.73129,0.41821,0.46331,0.21726,1.92178,1.3542,0.95471,0.0340172,0.000659829,0.000659829
3,607.74,1.9579,1.28287,1.01252,0.78223,0.39983,0.48596,0.24014,1.85686,1.23707,0.93195,0.00100396,0.000979965,0.000979965
4,810.136,1.88544,1.21709,0.99579,0.77131,0.43749,0.50818,0.26699,1.73789,1.14131,0.92243,0.0009703,0.0009703,0.0009703
5,1013.54,1.83653,1.16835,0.98814,0.72433,0.44863,0.49367,0.24009,1.82445,1.31307,0.91961,0.0009604,0.0009604,0.0009604
6,1216.87,1.79728,1.12559,0.97479,0.76724,0.45359,0.51891,0.28269,1.68548,1.07344,0.91342,0.0009505,0.0009505,0.0009505
7,1419.81,1.75874,1.0919,0.96827,0.77149,0.48758,0.55451,0.29837,1.62153,1.01036,0.90112,0.0009406,0.0009406,0.0009406
8,1621.96,1.73256,1.06804,0.9645,0.76304,0.484,0.55546,0.30672,1.58367,0.94262,0.89146,0.0009307,0.0009307,0.0009307
9,1823.86,1.70376,1.04807,0.96079,0.78023,0.50268,0.57427,0.31813,1.52122,0.8964,0.88396,0.0009208,0.0009208,0.0009208
10,2026.19,1.68768,1.02755,0.95944,0.79014,0.49553,0.57738,0.32081,1.52333,0.8997,0.88867,0.0009109,0.0009109,0.0009109
11,2230.14,1.66913,1.00875,0.95487,0.8006,0.48718,0.56617,0.32398,1.49789,0.89931,0.88464,0.000901,0.000901,0.000901
12,2433.86,1.65193,1.00154,0.95116,0.78794,0.49778,0.57029,0.33116,1.47016,0.89199,0.8874,0.0008911,0.0008911,0.0008911
13,2637.45,1.64285,0.98412,0.95556,0.78353,0.51512,0.57898,0.33047,1.50211,0.8764,0.88938,0.0008812,0.0008812,0.0008812
14,2840.98,1.63433,0.97149,0.9446,0.80204,0.51063,0.59238,0.3455,1.41973,0.84144,0.86985,0.0008713,0.0008713,0.0008713
15,3043.36,1.61536,0.95561,0.94269,0.8009,0.52292,0.59422,0.34886,1.41612,0.81654,0.87173,0.0008614,0.0008614,0.0008614
16,3244.77,1.59436,0.94049,0.94128,0.81016,0.50982,0.59513,0.34901,1.42597,0.8112,0.87522,0.0008515,0.0008515,0.0008515
17,3447.82,1.5938,0.93236,0.93832,0.82166,0.52291,0.60295,0.35745,1.39219,0.80442,0.86946,0.0008416,0.0008416,0.0008416
18,3650.98,1.58664,0.91949,0.93743,0.81318,0.52455,0.60427,0.35724,1.38621,0.79076,0.8697,0.0008317,0.0008317,0.0008317
19,3853.16,1.57415,0.9138,0.93443,0.81774,0.52705,0.61109,0.36164,1.38085,0.76999,0.86913,0.0008218,0.0008218,0.0008218
20,4056.31,1.56437,0.91301,0.93261,0.80513,0.52554,0.60306,0.36099,1.37778,0.76887,0.86692,0.0008119,0.0008119,0.0008119
21,4259.81,1.55766,0.90021,0.93155,0.80383,0.52859,0.61076,0.36524,1.36439,0.77173,0.8705,0.000802,0.000802,0.000802
22,4464.04,1.54882,0.88704,0.92637,0.82151,0.52435,0.61267,0.36746,1.34991,0.75085,0.86522,0.0007921,0.0007921,0.0007921
23,4667.71,1.54149,0.89125,0.93095,0.81778,0.52809,0.61186,0.3647,1.35856,0.74995,0.86689,0.0007822,0.0007822,0.0007822
24,4870.09,1.52167,0.87424,0.92553,0.81227,0.52912,0.61383,0.36569,1.34795,0.75083,0.86447,0.0007723,0.0007723,0.0007723
25,5071.32,1.51818,0.85127,0.92484,0.81673,0.5329,0.61681,0.36925,1.33505,0.74204,0.8637,0.0007624,0.0007624,0.0007624
26,5272.35,1.51168,0.85729,0.92118,0.82577,0.53793,0.62211,0.37346,1.33404,0.73939,0.86165,0.0007525,0.0007525,0.0007525
27,5473.33,1.50292,0.8528,0.92295,0.82633,0.53866,0.62374,0.37626,1.3238,0.73428,0.85882,0.0007426,0.0007426,0.0007426
28,5674.63,1.4973,0.85214,0.92332,0.84294,0.52554,0.62082,0.37389,1.3258,0.73034,0.85875,0.0007327,0.0007327,0.0007327
29,5877.45,1.48454,0.8356,0.91609,0.83916,0.52952,0.62209,0.37891,1.31581,0.72253,0.86061,0.0007228,0.0007228,0.0007228
30,6080.15,1.48319,0.82855,0.91847,0.82964,0.53349,0.62442,0.38078,1.30754,0.71461,0.85897,0.0007129,0.0007129,0.0007129
31,6282.23,1.47862,0.83275,0.91916,0.8262,0.53764,0.62379,0.38063,1.30522,0.71298,0.8574,0.000703,0.000703,0.000703
32,6483.95,1.46494,0.81774,0.90897,0.82693,0.53687,0.62536,0.38115,1.30422,0.7084,0.85552,0.0006931,0.0006931,0.0006931
33,6685.79,1.4629,0.8164,0.91792,0.83605,0.53329,0.63019,0.38444,1.29759,0.70303,0.85557,0.0006832,0.0006832,0.0006832
34,6887.05,1.45289,0.80645,0.91026,0.83708,0.53647,0.63038,0.38462,1.29192,0.70114,0.85431,0.0006733,0.0006733,0.0006733
35,7088.96,1.44467,0.80027,0.90914,0.84567,0.53409,0.63048,0.38521,1.28651,0.6969,0.85493,0.0006634,0.0006634,0.0006634
