epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.996,2.3073,1.73353,1.07414,0.71492,0.37468,0.41403,0.18152,2.1971,1.74796,0.96695,0.0670119,0.000333213,0.000333213
2,554.678,2.18168,1.52205,1.04404,0.69787,0.38163,0.42007,0.20339,2.06472,1.35627,0.94844,0.0340053,0.000659948,0.000659948
3,848.562,2.10127,1.45481,1.02749,0.74639,0.38667,0.43727,0.21648,1.99705,1.36482,0.94113,0.000992081,0.000980082,0.000980082
4,1153.6,2.04943,1.38675,1.01118,0.72795,0.42,0.46716,0.23031,1.96926,1.31811,0.93501,0.0009703,0.0009703,0.0009703
5,1457.58,1.99521,1.3416,1.00435,0.72636,0.43769,0.48899,0.24736,1.8767,1.18282,0.92203,0.0009604,0.0009604,0.0009604
6,1759.34,1.98036,1.32234,0.99944,0.74354,0.43769,0.48875,0.24574,1.84207,1.1595,0.91309,0.0009505,0.0009505,0.0009505
7,2058.37,1.93983,1.27511,0.99009,0.72128,0.46651,0.51397,0.26422,1.77858,1.11895,0.90358,0.0009406,0.0009406,0.0009406
8,2358.4,1.90904,1.24702,0.98621,0.7517,0.45597,0.51797,0.26909,1.76662,1.09764,0.90786,0.0009307,0.0009307,0.0009307
9,2641.54,1.89893,1.23314,0.98418,0.75347,0.45498,0.51141,0.26708,1.77651,1.10536,0.90482,0.0009208,0.0009208,0.0009208
10,2940.99,1.87526,1.21928,0.97815,0.75693,0.46981,0.52754,0.2822,1.71401,1.06348,0.89827,0.0009109,0.0009109,0.0009109
11,3247.16,1.85875,1.19769,0.97769,0.77095,0.46889,0.53425,0.2853,1.69638,1.04546,0.89803,0.000901,0.000901,0.000901
12,3559.38,1.84333,1.18273,0.97151,0.79344,0.4581,0.53451,0.2821,1.68724,1.02079,0.89148,0.0008911,0.0008911,0.0008911
13,3827.03,1.83527,1.16895,0.97252,0.73375,0.4826,0.53639,0.28923,1.67972,1.0546,0.8904,0.0008812,0.0008812,0.0008812
14,4081.73,1.81707,1.15218,0.96948,0.77566,0.484,0.54736,0.29501,1.66726,0.99743,0.88832,0.0008713,0.0008713,0.0008713
15,4359.76,1.80511,1.13708,0.96208,0.78285,0.48917,0.55,0.29589,1.63831,0.96597,0.88387,0.0008614,0.0008614,0.0008614
16,4638.2,1.80775,1.12933,0.96508,0.75755,0.48837,0.55376,0.30163,1.64585,0.97005,0.88806,0.0008515,0.0008515,0.0008515
17,4903.37,1.79152,1.12132,0.96117,0.79971,0.48221,0.55765,0.30669,1.61855,0.97372,0.88604,0.0008416,0.0008416,0.0008416
18,5190.82,1.78019,1.11143,0.95982,0.79441,0.484,0.55865,0.30678,1.60309,0.96387,0.88391,0.0008317,0.0008317,0.0008317
19,5484.26,1.77661,1.10215,0.96225,0.76922,0.48917,0.56071,0.30876,1.5969,0.95278,0.88228,0.0008218,0.0008218,0.0008218
20,5785.52,1.76164,1.09644,0.95542,0.78501,0.48718,0.56001,0.3111,1.59081,0.96039,0.88115,0.0008119,0.0008119,0.0008119
21,6084.8,1.74643,1.07722,0.95387,0.80298,0.48525,0.56138,0.31002,1.59152,0.93884,0.88044,0.000802,0.000802,0.000802
22,6392.57,1.75154,1.07891,0.95435,0.77107,0.49652,0.56828,0.31427,1.57779,0.93223,0.8758,0.0007921,0.0007921,0.0007921
23,6697.42,1.74078,1.07362,0.95274,0.78862,0.50149,0.57183,0.31735,1.57339,0.92049,0.87452,0.0007822,0.0007822,0.0007822
24,6999.52,1.73645,1.06538,0.95369,0.80671,0.4999,0.57499,0.31924,1.56461,0.91181,0.87299,0.0007723,0.0007723,0.0007723
