epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.915,2.08165,1.43096,1.0442,0.64207,0.37388,0.38703,0.18312,1.94863,1.36824,0.97422,0.0670238,0.000333093,0.000333093
2,610.624,2.03759,1.35921,1.03038,0.6672,0.38601,0.43844,0.2111,1.92942,1.598,0.95157,0.0340172,0.000659829,0.000659829
3,900.102,1.95931,1.28838,1.0118,0.69167,0.42985,0.48565,0.24748,1.84874,1.2592,0.9333,0.00100396,0.000979965,0.000979965
4,1186.34,1.88724,1.22415,0.99626,0.73571,0.46392,0.52066,0.26672,1.76168,1.0968,0.92851,0.0009703,0.0009703,0.0009703
5,1474.25,1.83458,1.17607,0.98998,0.75736,0.43411,0.50238,0.26942,1.68822,1.12838,0.90893,0.0009604,0.0009604,0.0009604
6,1763.2,1.78104,1.11863,0.97175,0.75371,0.47088,0.53337,0.29392,1.62986,1.01504,0.90573,0.0009505,0.0009505,0.0009505
7,2052.21,1.74882,1.08777,0.96839,0.75683,0.49871,0.56023,0.30925,1.57779,0.9967,0.89373,0.0009406,0.0009406,0.0009406
8,2341.15,1.71116,1.05679,0.96313,0.77555,0.49394,0.56347,0.31816,1.52857,0.92558,0.89477,0.0009307,0.0009307,0.0009307
9,2630.13,1.69152,1.03988,0.9609,0.79729,0.49955,0.57755,0.32653,1.50747,0.89394,0.88577,0.0009208,0.0009208,0.0009208
10,2918.33,1.67126,1.01432,0.95819,0.76794,0.50268,0.57255,0.32468,1.49842,0.91511,0.88069,0.0009109,0.0009109,0.0009109
11,3206.05,1.64771,0.99221,0.95232,0.78849,0.50527,0.57749,0.33066,1.45815,0.85775,0.88122,0.000901,0.000901,0.000901
12,3494.36,1.626,0.98197,0.94768,0.7973,0.49394,0.57528,0.33678,1.43618,0.85023,0.87956,0.0008911,0.0008911,0.0008911
13,3783.17,1.61072,0.96121,0.9501,0.76979,0.50388,0.57821,0.33198,1.43704,0.88616,0.87447,0.0008812,0.0008812,0.0008812
14,4071.33,1.60795,0.94917,0.94085,0.77212,0.52867,0.60055,0.34858,1.39785,0.83482,0.86902,0.0008713,0.0008713,0.0008713
15,4358.76,1.58317,0.92821,0.93694,0.7871,0.53055,0.60316,0.35392,1.39755,0.80285,0.87157,0.0008614,0.0008614,0.0008614
16,4646.81,1.56046,0.90946,0.93631,0.79096,0.52594,0.60414,0.35884,1.3853,0.80173,0.86953,0.0008515,0.0008515,0.0008515
17,4934.52,1.56805,0.90854,0.93477,0.80244,0.52813,0.60916,0.36273,1.36617,0.78504,0.8679,0.0008416,0.0008416,0.0008416
18,5222.93,1.55015,0.89442,0.93136,0.7936,0.5321,0.61107,0.36939,1.34469,0.76514,0.86483,0.0008317,0.0008317,0.0008317
19,5512.5,1.53731,0.88582,0.92985,0.81633,0.52733,0.61612,0.36965,1.34488,0.76029,0.86379,0.0008218,0.0008218,0.0008218
20,5802.55,1.52637,0.88027,0.92704,0.80654,0.53608,0.61529,0.37073,1.3235,0.75153,0.86203,0.0008119,0.0008119,0.0008119
21,6091.43,1.5196,0.8686,0.92669,0.81716,0.53767,0.62065,0.37331,1.3291,0.7429,0.86182,0.000802,0.000802,0.000802
22,6379.64,1.51548,0.85683,0.92206,0.81586,0.53368,0.62168,0.37658,1.31135,0.73385,0.85776,0.0007921,0.0007921,0.0007921
23,6668.79,1.50097,0.85282,0.92356,0.8229,0.5323,0.62305,0.379,1.30268,0.72727,0.85828,0.0007822,0.0007822,0.0007822
24,6958.11,1.48271,0.83633,0.92132,0.80024,0.54164,0.62234,0.37809,1.30143,0.72683,0.85778,0.0007723,0.0007723,0.0007723
25,7245.96,1.47644,0.82202,0.91773,0.80726,0.54528,0.62601,0.38015,1.28528,0.72718,0.85773,0.0007624,0.0007624,0.0007624
26,7534.13,1.4703,0.82324,0.91636,0.83033,0.54065,0.62926,0.38153,1.29129,0.72107,0.85591,0.0007525,0.0007525,0.0007525
27,7822.33,1.45741,0.81497,0.91535,0.80664,0.54999,0.63129,0.38315,1.2922,0.70672,0.85584,0.0007426,0.0007426,0.0007426
28,8111.57,1.45666,0.81515,0.91606,0.7982,0.55317,0.6313,0.38326,1.29451,0.70953,0.85555,0.0007327,0.0007327,0.0007327
29,8400.31,1.4372,0.79487,0.90956,0.82531,0.54681,0.63369,0.38855,1.27785,0.69707,0.85344,0.0007228,0.0007228,0.0007228
30,8689.88,1.43772,0.79234,0.91267,0.82152,0.54383,0.63342,0.38856,1.26843,0.70231,0.85357,0.0007129,0.0007129,0.0007129
31,8978.02,1.43438,0.79572,0.91346,0.83818,0.54085,0.63796,0.39169,1.25946,0.69337,0.8514,0.000703,0.000703,0.000703
32,9265.43,1.41837,0.77893,0.90357,0.82812,0.55118,0.6418,0.39517,1.26089,0.6852,0.8512,0.0006931,0.0006931,0.0006931
33,9553.22,1.41227,0.77366,0.91083,0.83063,0.54978,0.64264,0.39686,1.2557,0.67995,0.85019,0.0006832,0.0006832,0.0006832
34,9840.29,1.40608,0.76552,0.90403,0.84032,0.545,0.64076,0.39753,1.25394,0.6789,0.85141,0.0006733,0.0006733,0.0006733
35,10124.8,1.40031,0.76294,0.90094,0.8301,0.54661,0.64018,0.39791,1.24953,0.6797,0.8512,0.0006634,0.0006634,0.0006634
36,10413.2,1.39382,0.75721,0.90262,0.84415,0.54303,0.64167,0.40022,1.23871,0.67533,0.84948,0.0006535,0.0006535,0.0006535
37,10702.4,1.38633,0.75567,0.90322,0.83159,0.55063,0.64291,0.40174,1.2371,0.6692,0.85012,0.0006436,0.0006436,0.0006436
38,10990,1.37738,0.74525,0.90086,0.83429,0.55098,0.64366,0.40218,1.23669,0.66885,0.84965,0.0006337,0.0006337,0.0006337
39,11277.5,1.37519,0.73922,0.89702,0.83609,0.55218,0.64478,0.40289,1.23411,0.66921,0.84894,0.0006238,0.0006238,0.0006238
40,11565.1,1.36443,0.73273,0.89381,0.83858,0.55158,0.64585,0.40405,1.23284,0.66733,0.84844,0.0006139,0.0006139,0.0006139
41,11852.5,1.36509,0.73163,0.89615,0.83926,0.55019,0.64576,0.40449,1.23248,0.66839,0.84862,0.000604,0.000604,0.000604
42,12140.2,1.36467,0.72429,0.89285,0.83483,0.55255,0.64603,0.40508,1.23164,0.66522,0.84901,0.0005941,0.0005941,0.0005941
43,12428.2,1.35689,0.71835,0.8903,0.82378,0.55774,0.64674,0.40578,1.23218,0.66412,0.84922,0.0005842,0.0005842,0.0005842
44,12715.8,1.34998,0.7182,0.89356,0.83949,0.55178,0.64737,0.40598,1.23257,0.66347,0.84846,0.0005743,0.0005743,0.0005743
45,13003.2,1.33572,0.70144,0.88691,0.82108,0.55874,0.64667,0.40627,1.23295,0.66355,0.84828,0.0005644,0.0005644,0.0005644
46,13291.4,1.3321,0.70204,0.89074,0.82712,0.55715,0.64789,0.407,1.23304,0.6618,0.84814,0.0005545,0.0005545,0.0005545
47,13582,1.33484,0.70105,0.89116,0.82032,0.56172,0.64876,0.40684,1.23103,0.65992,0.84754,0.0005446,0.0005446,0.0005446
48,13871.8,1.32367,0.69262,0.88891,0.82485,0.55993,0.64938,0.4072,1.23007,0.6583,0.84761,0.0005347,0.0005347,0.0005347
49,14162.7,1.31832,0.69242,0.8855,0.82742,0.55846,0.64884,0.40854,1.22811,0.656,0.84725,0.0005248,0.0005248,0.0005248
50,14451.8,1.30174,0.6771,0.8847,0.83463,0.55536,0.64886,0.40884,1.22871,0.65601,0.84724,0.0005149,0.0005149,0.0005149
51,14731.6,1.31066,0.6834,0.88642,0.82818,0.55761,0.64914,0.40868,1.2298,0.6554,0.84743,0.000505,0.000505,0.000505
52,15012.8,1.29869,0.67488,0.88422,0.82837,0.55734,0.6499,0.40959,1.22896,0.65418,0.84752,0.0004951,0.0004951,0.0004951
53,15289.8,1.30114,0.68102,0.88314,0.82838,0.55893,0.65101,0.41021,1.22959,0.65294,0.84814,0.0004852,0.0004852,0.0004852
54,15573.6,1.29289,0.67009,0.8835,0.82869,0.55766,0.65104,0.41074,1.22958,0.65187,0.8484,0.0004753,0.0004753,0.0004753
55,15868.1,1.28247,0.66275,0.87904,0.82754,0.55891,0.65103,0.41083,1.22962,0.65125,0.84871,0.0004654,0.0004654,0.0004654
1,303.7,2.08165,1.43096,1.0442,0.64207,0.37388,0.38703,0.18312,1.94863,1.36824,0.97422,0.0670238,0.000333093,0.000333093
2,592.479,2.03759,1.35921,1.03038,0.6672,0.38601,0.43844,0.2111,1.92942,1.598,0.95157,0.0340172,0.000659829,0.000659829
3,877.071,1.95931,1.28838,1.0118,0.69167,0.42985,0.48565,0.24748,1.84874,1.2592,0.9333,0.00100396,0.000979965,0.000979965
4,1170.71,1.88724,1.22415,0.99626,0.73571,0.46392,0.52066,0.26672,1.76168,1.0968,0.92851,0.0009703,0.0009703,0.0009703
5,1459.92,1.83458,1.17607,0.98998,0.75736,0.43411,0.50238,0.26942,1.68822,1.12838,0.90893,0.0009604,0.0009604,0.0009604
6,1774.9,1.78104,1.11863,0.97175,0.75371,0.47088,0.53337,0.29392,1.62986,1.01504,0.90573,0.0009505,0.0009505,0.0009505
7,2068.79,1.74882,1.08777,0.96839,0.75683,0.49871,0.56023,0.30925,1.57779,0.9967,0.89373,0.0009406,0.0009406,0.0009406
8,2357.3,1.71116,1.05679,0.96313,0.77555,0.49394,0.56347,0.31816,1.52857,0.92558,0.89477,0.0009307,0.0009307,0.0009307
9,2648.49,1.69152,1.03988,0.9609,0.79729,0.49955,0.57755,0.32653,1.50747,0.89394,0.88577,0.0009208,0.0009208,0.0009208
10,2938.93,1.67126,1.01432,0.95819,0.76794,0.50268,0.57255,0.32468,1.49842,0.91511,0.88069,0.0009109,0.0009109,0.0009109
11,3227.87,1.64771,0.99221,0.95232,0.78849,0.50527,0.57749,0.33066,1.45815,0.85775,0.88122,0.000901,0.000901,0.000901
12,3518.52,1.626,0.98197,0.94768,0.7973,0.49394,0.57528,0.33678,1.43618,0.85023,0.87956,0.0008911,0.0008911,0.0008911
13,3807.46,1.61072,0.96121,0.9501,0.76979,0.50388,0.57821,0.33198,1.43704,0.88616,0.87447,0.0008812,0.0008812,0.0008812
14,4096.85,1.60795,0.94917,0.94085,0.77212,0.52867,0.60055,0.34858,1.39785,0.83482,0.86902,0.0008713,0.0008713,0.0008713
15,4387.23,1.58317,0.92821,0.93694,0.7871,0.53055,0.60316,0.35392,1.39755,0.80285,0.87157,0.0008614,0.0008614,0.0008614
16,4675.73,1.56046,0.90946,0.93631,0.79096,0.52594,0.60414,0.35884,1.3853,0.80173,0.86953,0.0008515,0.0008515,0.0008515
17,4964.15,1.56805,0.90854,0.93477,0.80244,0.52813,0.60916,0.36273,1.36617,0.78504,0.8679,0.0008416,0.0008416,0.0008416
18,5253.65,1.55015,0.89442,0.93136,0.7936,0.5321,0.61107,0.36939,1.34469,0.76514,0.86483,0.0008317,0.0008317,0.0008317
19,5540.93,1.53731,0.88582,0.92985,0.81633,0.52733,0.61612,0.36965,1.34488,0.76029,0.86379,0.0008218,0.0008218,0.0008218
20,5829.56,1.52637,0.88027,0.92704,0.80654,0.53608,0.61529,0.37073,1.3235,0.75153,0.86203,0.0008119,0.0008119,0.0008119
21,6121.4,1.5196,0.8686,0.92669,0.81716,0.53767,0.62065,0.37331,1.3291,0.7429,0.86182,0.000802,0.000802,0.000802
22,6411.56,1.51548,0.85683,0.92206,0.81586,0.53368,0.62168,0.37658,1.31135,0.73385,0.85776,0.0007921,0.0007921,0.0007921
23,6700.59,1.50097,0.85282,0.92356,0.8229,0.5323,0.62305,0.379,1.30268,0.72727,0.85828,0.0007822,0.0007822,0.0007822
24,6983.96,1.48271,0.83633,0.92132,0.80024,0.54164,0.62234,0.37809,1.30143,0.72683,0.85778,0.0007723,0.0007723,0.0007723
25,7266.2,1.47644,0.82202,0.91773,0.80726,0.54528,0.62601,0.38015,1.28528,0.72718,0.85773,0.0007624,0.0007624,0.0007624
26,7548.57,1.4703,0.82324,0.91636,0.83033,0.54065,0.62926,0.38153,1.29129,0.72107,0.85591,0.0007525,0.0007525,0.0007525
27,7826.95,1.45741,0.81497,0.91535,0.80664,0.54999,0.63129,0.38315,1.2922,0.70672,0.85584,0.0007426,0.0007426,0.0007426
28,8111.87,1.45666,0.81515,0.91606,0.7982,0.55317,0.6313,0.38326,1.29451,0.70953,0.85555,0.0007327,0.0007327,0.0007327
29,8399.6,1.4372,0.79487,0.90956,0.82531,0.54681,0.63369,0.38855,1.27785,0.69707,0.85344,0.0007228,0.0007228,0.0007228
30,8686.85,1.43772,0.79234,0.91267,0.82152,0.54383,0.63342,0.38856,1.26843,0.70231,0.85357,0.0007129,0.0007129,0.0007129
31,8974.15,1.43438,0.79572,0.91346,0.83818,0.54085,0.63796,0.39169,1.25946,0.69337,0.8514,0.000703,0.000703,0.000703
32,9260.65,1.41837,0.77893,0.90357,0.82812,0.55118,0.6418,0.39517,1.26089,0.6852,0.8512,0.0006931,0.0006931,0.0006931
33,9547.45,1.41227,0.77366,0.91083,0.83063,0.54978,0.64264,0.39686,1.2557,0.67995,0.85019,0.0006832,0.0006832,0.0006832
34,9835.39,1.40608,0.76552,0.90403,0.84032,0.545,0.64076,0.39753,1.25394,0.6789,0.85141,0.0006733,0.0006733,0.0006733
35,10115.6,1.40031,0.76294,0.90094,0.8301,0.54661,0.64018,0.39791,1.24953,0.6797,0.8512,0.0006634,0.0006634,0.0006634
36,10396.9,1.39382,0.75721,0.90262,0.84415,0.54303,0.64167,0.40022,1.23871,0.67533,0.84948,0.0006535,0.0006535,0.0006535
37,10683.1,1.38633,0.75567,0.90322,0.83159,0.55063,0.64291,0.40174,1.2371,0.6692,0.85012,0.0006436,0.0006436,0.0006436
38,10959.9,1.37738,0.74525,0.90086,0.83429,0.55098,0.64366,0.40218,1.23669,0.66885,0.84965,0.0006337,0.0006337,0.0006337
39,11246,1.37519,0.73922,0.89702,0.83609,0.55218,0.64478,0.40289,1.23411,0.66921,0.84894,0.0006238,0.0006238,0.0006238
40,11532.7,1.36443,0.73273,0.89381,0.83858,0.55158,0.64585,0.40405,1.23284,0.66733,0.84844,0.0006139,0.0006139,0.0006139
41,11818.3,1.36509,0.73163,0.89615,0.83926,0.55019,0.64576,0.40449,1.23248,0.66839,0.84862,0.000604,0.000604,0.000604
42,12097.5,1.36467,0.72429,0.89285,0.83483,0.55255,0.64603,0.40508,1.23164,0.66522,0.84901,0.0005941,0.0005941,0.0005941
